Date,Confirmed Cases Barisal,Case Rate Barisal,Deaths Barisal,Death Rate Barisal,Confirmed Cases Chittagong,Case Rate Chittagong,Deaths Chittagong,Death Rate Chittagong,Confirmed Cases Dhaka,Case Rate Dhaka,Deaths Dhaka,Death Rate Dhaka,Confirmed Cases Khulna,Case Rate Khulna,Deaths Khulna,Death Rate Khulna,Confirmed Cases Mymensingh,Case Rate Mymensingh,Deaths Mymensingh,Death Rate Mymensingh,Confirmed Cases Rajshahi,Case Rate Rajshahi,Deaths Rajshahi,Death Rate Rajshahi,Confirmed Cases Rangpur,Case Rate Rangpur,Deaths Rangpur,Death Rate Rangpur,Confirmed Cases Sylhet,Case Rate Sylhet,Deaths Sylhet,Death Rate Sylhet,Confirmed Cases Allover Bangladesh,Case Rate Allover Bangladesh,Deaths Allover Bangladesh,Death Rate Allover Bangladesh
2020-11-17,38.0,9.0,39.0,1.8,255.0,8.0,39.0,1.8,1348.0,18.0,39.0,1.8,60.0,8.0,39.0,1.8,28.0,11.0,39.0,1.8,83.0,6.0,39.0,1.8,54.0,15.0,39.0,1.8,26.0,5.0,39.0,1.8,2212.0,14.0,39.0,1.8
2020-11-18,29.0,7.0,21.0,1.0,268.0,7.0,21.0,1.0,1502.0,18.0,21.0,1.0,46.0,7.0,21.0,1.0,36.0,11.0,21.0,1.0,69.0,6.0,21.0,1.0,58.0,14.0,21.0,1.0,29.0,6.0,21.0,1.0,2111.0,13.0,21.0,1.0
2020-11-19,39.0,9.0,30.0,1.3,208.0,6.0,30.0,1.3,1398.0,19.0,30.0,1.3,41.0,6.0,30.0,1.3,21.0,7.0,30.0,1.3,73.0,8.0,30.0,1.3,61.0,15.0,30.0,1.3,27.0,7.0,30.0,1.3,2364.0,13.0,30.0,1.3
2020-11-20,37.0,12.0,17.0,0.7,193.0,8.0,17.0,0.7,1151.0,22.0,17.0,0.7,50.0,10.0,17.0,0.7,15.0,6.0,17.0,0.7,76.0,6.0,17.0,0.7,55.0,18.0,17.0,0.7,24.0,5.0,17.0,0.7,2275.0,15.0,17.0,0.7
2020-11-21,16.0,7.0,28.0,1.5,232.0,9.0,28.0,1.5,1500.0,22.0,28.0,1.5,49.0,9.0,28.0,1.5,21.0,7.0,28.0,1.5,107.0,9.0,28.0,1.5,38.0,15.0,28.0,1.5,21.0,4.0,28.0,1.5,1847.0,15.0,28.0,1.5
2020-11-22,50.0,12.0,38.0,1.8,367.0,11.0,38.0,1.8,1477.0,21.0,38.0,1.8,38.0,6.0,38.0,1.8,13.0,4.0,38.0,1.8,77.0,11.0,38.0,1.8,53.0,17.0,38.0,1.8,41.0,6.0,38.0,1.8,2060.0,15.0,38.0,1.8
2020-11-23,41.0,12.0,28.0,1.2,297.0,11.0,28.0,1.2,1313.0,19.0,28.0,1.2,59.0,8.0,28.0,1.2,32.0,11.0,28.0,1.2,72.0,7.0,28.0,1.2,61.0,15.0,28.0,1.2,46.0,7.0,28.0,1.2,2419.0,15.0,28.0,1.2
2020-11-24,35.0,8.0,32.0,1.4,221.0,8.0,32.0,1.4,1465.0,19.0,32.0,1.4,53.0,9.0,32.0,1.4,51.0,16.0,32.0,1.4,98.0,8.0,32.0,1.4,58.0,14.0,32.0,1.4,39.0,6.0,32.0,1.4,2230.0,15.0,32.0,1.4
2020-11-25,44.0,11.0,39.0,1.8,274.0,8.0,39.0,1.8,1249.0,18.0,39.0,1.8,80.0,11.0,39.0,1.8,24.0,8.0,39.0,1.8,100.0,8.0,39.0,1.8,71.0,21.0,39.0,1.8,41.0,6.0,39.0,1.8,2156.0,13.0,39.0,1.8
2020-11-26,53.0,12.0,37.0,1.6,316.0,9.0,37.0,1.6,1626.0,20.0,37.0,1.6,42.0,6.0,37.0,1.6,19.0,6.0,37.0,1.6,64.0,5.0,37.0,1.6,69.0,18.0,37.0,1.6,42.0,7.0,37.0,1.6,2292.0,13.0,37.0,1.6
2020-11-27,39.0,12.0,20.0,0.9,288.0,9.0,20.0,0.9,951.0,19.0,20.0,0.9,38.0,8.0,20.0,0.9,36.0,13.0,20.0,0.9,99.0,9.0,20.0,0.9,46.0,14.0,20.0,0.9,37.0,6.0,20.0,0.9,2273.0,14.0,20.0,0.9
2020-11-28,26.0,9.0,36.0,1.9,156.0,5.0,36.0,1.9,1300.0,21.0,36.0,1.9,36.0,9.0,36.0,1.9,22.0,10.0,36.0,1.9,104.0,9.0,36.0,1.9,38.0,16.0,36.0,1.9,26.0,5.0,36.0,1.9,1908.0,14.0,36.0,1.9
2020-11-29,41.0,11.0,29.0,1.6,367.0,11.0,29.0,1.6,1492.0,20.0,29.0,1.6,32.0,6.0,29.0,1.6,26.0,9.0,29.0,1.6,52.0,7.0,29.0,1.6,87.0,25.0,29.0,1.6,32.0,6.0,29.0,1.6,1788.0,13.0,29.0,1.6
2020-11-30,50.0,14.0,35.0,1.4,297.0,9.0,35.0,1.4,1436.0,20.0,35.0,1.4,65.0,10.0,35.0,1.4,23.0,9.0,35.0,1.4,98.0,8.0,35.0,1.4,84.0,21.0,35.0,1.4,37.0,6.0,35.0,1.4,2525.0,16.0,35.0,1.4
2020-12-01,44.0,11.0,31.0,1.4,335.0,10.0,31.0,1.4,1452.0,20.0,31.0,1.4,29.0,5.0,31.0,1.4,23.0,9.0,31.0,1.4,83.0,9.0,31.0,1.4,62.0,19.0,31.0,1.4,42.0,7.0,31.0,1.4,2293.0,15.0,31.0,1.4
2020-12-02,42.0,10.0,38.0,1.7,237.0,7.0,38.0,1.7,1348.0,18.0,38.0,1.7,31.0,6.0,38.0,1.7,39.0,13.0,38.0,1.7,140.0,11.0,38.0,1.7,69.0,16.0,38.0,1.7,35.0,6.0,38.0,1.7,2198.0,14.0,38.0,1.7
2020-12-03,34.0,13.0,35.0,1.5,356.0,10.0,35.0,1.5,1601.0,19.0,35.0,1.5,55.0,8.0,35.0,1.5,21.0,6.0,35.0,1.5,93.0,9.0,35.0,1.5,73.0,16.0,35.0,1.5,52.0,8.0,35.0,1.5,2316.0,14.0,35.0,1.5
2020-12-04,24.0,8.0,24.0,1.1,353.0,10.0,24.0,1.1,1117.0,19.0,24.0,1.1,45.0,11.0,24.0,1.1,17.0,5.0,24.0,1.1,136.0,17.0,24.0,1.1,59.0,19.0,24.0,1.1,30.0,8.0,24.0,1.1,2252.0,15.0,24.0,1.1
2020-12-05,7.0,3.0,35.0,1.9,195.0,7.0,35.0,1.9,1085.0,19.0,35.0,1.9,29.0,6.0,35.0,1.9,36.0,12.0,35.0,1.9,80.0,7.0,35.0,1.9,58.0,13.0,35.0,1.9,13.0,3.0,35.0,1.9,1888.0,14.0,35.0,1.9
2020-12-06,15.0,8.0,31.0,1.9,308.0,9.0,31.0,1.9,1442.0,19.0,31.0,1.9,51.0,8.0,31.0,1.9,18.0,7.0,31.0,1.9,37.0,6.0,31.0,1.9,54.0,17.0,31.0,1.9,22.0,5.0,31.0,1.9,1666.0,13.0,31.0,1.9
2020-12-07,23.0,18.0,36.0,1.6,292.0,8.0,36.0,1.6,1234.0,17.0,36.0,1.6,67.0,10.0,36.0,1.6,30.0,9.0,36.0,1.6,90.0,9.0,36.0,1.6,47.0,11.0,36.0,1.6,15.0,2.0,36.0,1.6,2198.0,15.0,36.0,1.6
2020-12-08,42.0,15.0,32.0,1.5,306.0,8.0,32.0,1.5,1365.0,19.0,32.0,1.5,64.0,9.0,32.0,1.5,20.0,6.0,32.0,1.5,124.0,10.0,32.0,1.5,60.0,15.0,32.0,1.5,23.0,5.0,32.0,1.5,2202.0,13.0,32.0,1.5
2020-12-09,22.0,6.0,24.0,1.1,289.0,7.0,24.0,1.1,972.0,14.0,24.0,1.1,46.0,6.0,24.0,1.1,29.0,9.0,24.0,1.1,97.0,7.0,24.0,1.1,67.0,16.0,24.0,1.1,47.0,6.0,24.0,1.1,2159.0,13.0,24.0,1.1
